input_amplitude,input_period,input_duty_cycle,phase_coherence,mean_phase,phase_coherence_population,collective_phase
1.59,0.985,0.5,0.9999999999999998,0.2999999999998214,1.0,0.2999999999998214
1.59,0.99,0.5,1.0,0.29999999999994476,1.0,0.29999999999994476
1.59,0.995,0.5,1.0,0.29999999999988586,1.0,0.29999999999988586
1.59,1.0,0.5,1.000000000000001,0.2000000000000029,1.0,0.20000000000000287
1.59,1.005,0.5,1.0000000000000002,0.20000000000010998,1.0,0.20000000000010998
1.59,1.01,0.5,0.9999999999999998,0.20000000000006346,1.0,0.20000000000006346
1.59,1.015,0.5,0.9999999999999997,0.20000000000015528,1.0,0.2000000000001553
1.59,1.02,0.5,1.0,0.19999999999992332,1.0,0.19999999999992335
1.59,1.025,0.5,1.0000000000000002,0.19999999999986925,1.0,0.19999999999986925
1.59,1.03,0.5,0.9999999999999996,0.1999999999999746,1.0,0.19999999999997456
1.59,1.035,0.5,1.0,0.20000000000007834,1.0,0.20000000000007834
1.59,1.04,0.5,1.0,0.10000000000002097,1.0,0.10000000000002097
1.59,1.045,0.5,1.0,0.10000000000012711,1.0,0.10000000000012711
1.59,1.05,0.5,1.0000000000000002,0.0999999999998955,1.0,0.0999999999998955
1.59,1.055,0.5,1.0000000000000002,0.09999999999984646,1.0,0.09999999999984649
1.59,1.06,0.5,0.9999999999999996,0.09999999999995161,1.0,0.09999999999995166
1.59,1.065,0.5,1.0000000000000007,0.10000000000004897,1.0,0.10000000000004897
1.59,1.07,0.5,1.0000000000000002,0.10000000000014429,1.0,0.10000000000014429
1.59,1.075,0.5,1.0,0.10000000000009925,1.0,0.10000000000009927
1.59,1.08,0.5,1.0,0.9999999999998765,1.0,0.9999999999998765
1.59,1.085,0.5,1.0,0.9999999999999701,1.0,0.9999999999999701
1.59,1.09,0.5,1.0,0.9999999999999345,1.0,0.9999999999999345
1.59,1.095,0.5,1.0,2.2858888344295475e-14,1.0,2.2858888344295475e-14
1.59,1.1,0.5,1.0000000000000002,0.9000000000001197,1.0,0.9000000000001197
1.59,1.105,0.5,0.9999999999999999,0.9000000000000694,1.0,0.9000000000000693
1.59,1.11,0.5,1.0000000000000002,0.8999999999998578,1.0,0.8999999999998578
1.59,1.115,0.5,0.9999999999999999,0.899999999999955,1.0,0.899999999999955
1.59,1.12,0.5,1.0,0.8999999999999106,1.0,0.8999999999999106
1.59,1.125,0.5,0.9860149406428249,0.9074929602111759,NaN,NaN
1.59,1.13,0.5,0.8075319843322112,0.9605810669966746,NaN,NaN
1.59,1.135,0.5,0.5472691991447242,0.9485918618527208,1.0,0.9485918618527208
1.59,1.14,0.5,0.3472719362602596,0.9726967047839951,1.0,0.9726967047839951
1.59,1.145,0.5,0.2813202579126258,0.9446219007684502,1.0,0.9446219007684501
1.59,1.15,0.5,0.2172061733607909,0.962554101332964,1.0,0.962554101332964
1.59,1.155,0.5,0.25482770654578096,0.9681642148500061,1.0,0.9681642148500061
1.59,1.16,0.5,0.17049787114395992,0.04675711632299727,1.0,0.046757116322997325
1.59,1.165,0.5,0.2088064094739809,0.9838860766409041,1.0,0.9838860766409042
1.59,1.17,0.5,0.11152992106796539,0.12842313137835065,1.0,0.12842313137835068
1.59,1.175,0.5,0.20385064980974052,0.9861473230320894,1.0,0.9861473230320894
1.59,1.18,0.5,0.1212896449442633,0.8783770931557872,1.0,0.878377093155787
1.59,1.185,0.5,0.10302084005325726,0.9862949984258138,1.0,0.9862949984258138
1.59,1.19,0.5,0.10184991495448852,0.03993399207994125,1.0,0.03993399207994137
1.59,1.195,0.5,0.08387995221500795,0.1959316586239105,1.0,0.1959316586239106
1.59,1.2,0.5,0.1008669930217624,0.041362959550712515,1.0,0.041362959550712626
1.59,1.205,0.5,0.08977985032405458,0.003800937002916299,1.0,0.003800937002916318
1.59,1.21,0.5,0.08333462733162196,0.1717882490250856,1.0,0.17178824902508558
1.59,1.215,0.5,0.012682522761459852,0.8729658293117105,1.0,0.8729658293117103
1.59,1.22,0.5,0.13903786099456222,0.2147561562569013,1.0,0.21475615625690142
1.59,1.225,0.5,0.15896959070856534,0.18267536319681127,1.0,0.18267536319681127
1.59,1.23,0.5,0.10252192845247157,0.12348195457762476,1.0,0.12348195457762483
1.59,1.235,0.5,0.05629160080487469,0.38993399207970947,1.0,0.38993399207970947
1.59,1.24,0.5,0.02104692604219516,0.22703417068810877,1.0,0.2270341706881092
1.59,1.245,0.5,0.0661747455620386,0.3600660079200563,1.0,0.3600660079200564
1.59,1.25,0.5,0.1428638038511881,0.25000000000000006,1.0,0.25000000000000006
1.62,0.75,0.5,0.30758191713542604,0.5000000000000001,NaN,NaN
1.62,0.755,0.5,0.2444417564948583,0.49517223296876345,NaN,NaN
1.62,0.76,0.5,0.27911881367698654,0.47899166500126883,NaN,NaN
1.62,0.765,0.5,0.2550277880926548,0.483229569586177,NaN,NaN
1.62,0.77,0.5,0.24690827555991168,0.4571729804827253,NaN,NaN
1.62,0.775,0.5,0.25911265789411353,0.47539412030535805,NaN,NaN
1.62,0.78,0.5,0.2895820058109574,0.4950634721169178,NaN,NaN
1.62,0.785,0.5,0.2621059090772983,0.4879573266966856,NaN,NaN
1.62,0.79,0.5,0.29785085044756626,0.49603812192241403,NaN,NaN
1.62,0.795,0.5,0.29755358803467086,0.45770283563301245,NaN,NaN
1.62,0.8,0.5,0.27494649832197093,0.48852074667688994,NaN,NaN
1.62,0.805,0.5,0.32522080675368376,0.4769072631404566,NaN,NaN
1.62,0.81,0.5,0.2963225143872821,0.4871001786080674,NaN,NaN
1.62,0.815,0.5,0.3418267099725551,0.48882045989897754,NaN,NaN
1.62,0.82,0.5,0.3119873428341707,0.47973003688418314,NaN,NaN
1.62,0.825,0.5,0.3633993725929438,0.4914954193546928,NaN,NaN
1.62,0.83,0.5,0.36089606723753237,0.4831921615519211,NaN,NaN
1.62,0.835,0.5,0.32264867034716205,0.4904200601806545,NaN,NaN
1.62,0.84,0.5,0.3951420108598296,0.4903308851988663,NaN,NaN
1.62,0.845,0.5,0.3744919560348885,0.47317974055445544,NaN,NaN
1.62,0.85,0.5,0.3792539743587121,0.5367520733248538,NaN,NaN
1.62,0.855,0.5,0.4463286706519693,0.488024507128559,NaN,NaN
1.62,0.86,0.5,0.4156047434298051,0.5166505044716222,NaN,NaN
1.62,0.865,0.5,0.45771194988788577,0.5346259663841044,NaN,NaN
1.62,0.87,0.5,0.4578496398565048,0.48548488017290364,NaN,NaN
1.62,0.875,0.5,0.4902539866800685,0.5155693385352988,NaN,NaN
1.62,0.88,0.5,0.6254101966249405,0.5138327297626537,NaN,NaN
1.62,0.885,0.5,0.5955665437544345,0.5091558565447696,NaN,NaN
1.62,0.89,0.5,0.8448380640879373,0.522401432365637,1.0,0.522401432365637
1.62,0.895,0.5,0.9513319378906139,0.5461701782242878,1.0,0.5461701782242878
1.62,0.9,0.5,0.9782148963823203,0.5124093476860361,1.0,0.5124093476860361
1.62,0.905,0.5,1.0,0.499999999999964,1.0,0.499999999999964
1.62,0.91,0.5,1.0,0.5000000000000966,1.0,0.5000000000000965
1.62,0.915,0.5,1.0,0.5000000000000341,1.0,0.5000000000000341
1.62,0.92,0.5,1.0,0.500000000000159,1.0,0.5000000000001589
1.62,0.925,0.5,1.0,0.4999999999998642,1.0,0.49999999999986416
1.62,0.93,0.5,1.0,0.4999999999998018,1.0,0.4999999999998018
1.62,0.935,0.5,1.0,0.49999999999993955,1.0,0.49999999999993955
1.62,0.94,0.5,1.0,0.4000000000000601,1.0,0.4000000000000601
1.62,0.945,0.5,0.9999999999999998,0.40000000000018515,1.0,0.40000000000018515
1.62,0.95,0.5,0.9999999999999999,0.4000000000001315,1.0,0.40000000000013153
1.62,0.955,0.5,1.0,0.3999999999998493,1.0,0.3999999999998493
1.62,0.96,0.5,0.9999999999999998,0.3999999999999696,1.0,0.3999999999999696
1.62,0.965,0.5,0.9999999999999999,0.399999999999909,1.0,0.399999999999909
1.62,0.97,0.5,1.0000000000000009,0.30000000000003013,1.0,0.30000000000003024
1.62,0.975,0.5,1.0000000000000007,0.30000000000014604,1.0,0.30000000000014604
1.62,0.98,0.5,1.0000000000000002,0.3000000000000876,1.0,0.3000000000000876
1.62,0.985,0.5,0.9999999999999998,0.2999999999998214,1.0,0.2999999999998214
1.62,0.99,0.5,1.0,0.29999999999994476,1.0,0.29999999999994476
1.62,0.995,0.5,1.0,0.29999999999988586,1.0,0.29999999999988586
1.62,1.0,0.5,1.000000000000001,0.2000000000000029,1.0,0.20000000000000287
1.62,1.005,0.5,1.0000000000000002,0.20000000000010998,1.0,0.20000000000010998
1.62,1.01,0.5,0.9999999999999998,0.20000000000006346,1.0,0.20000000000006346
1.62,1.015,0.5,0.9999999999999997,0.20000000000015528,1.0,0.2000000000001553
1.62,1.02,0.5,1.0,0.19999999999992332,1.0,0.19999999999992335
1.62,1.025,0.5,1.0000000000000002,0.19999999999986925,1.0,0.19999999999986925
1.62,1.03,0.5,0.9999999999999996,0.1999999999999746,1.0,0.19999999999997456
1.62,1.035,0.5,1.0,0.20000000000007834,1.0,0.20000000000007834
1.62,1.04,0.5,1.0,0.10000000000002097,1.0,0.10000000000002097
1.62,1.045,0.5,1.0,0.10000000000012711,1.0,0.10000000000012711
1.62,1.05,0.5,1.0000000000000002,0.0999999999998955,1.0,0.0999999999998955
1.62,1.055,0.5,1.0000000000000002,0.09999999999984646,1.0,0.09999999999984649
1.62,1.06,0.5,0.9999999999999996,0.09999999999995161,1.0,0.09999999999995166
1.62,1.065,0.5,1.0000000000000007,0.10000000000004897,1.0,0.10000000000004897
1.62,1.07,0.5,1.0000000000000002,0.10000000000014429,1.0,0.10000000000014429
1.62,1.075,0.5,1.0,0.10000000000009925,1.0,0.10000000000009927
